Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
15,20,DODA,XGB,0.9875,0.9900990099009901,0.9993333333333333
16,5,ANOVA,LR,0.9625,0.9696969696969697,0.9906666666666666
16,5,ANOVA,RF,0.9875,0.9900990099009901,0.998
16,5,ANOVA,XGB,0.9625,0.9702970297029703,0.9986666666666667
16,5,DODA,LR,0.9625,0.9690721649484536,0.9913333333333332
16,5,DODA,RF,0.975,0.9803921568627451,0.9993333333333333
16,5,DODA,XGB,0.975,0.9803921568627451,0.9966666666666667
16,10,ANOVA,LR,0.9875,0.98989898989899,0.9993333333333333
16,10,ANOVA,RF,1.0,1.0,1.0
16,10,ANOVA,XGB,0.975,0.9803921568627451,1.0
16,10,DODA,LR,0.9875,0.98989898989899,0.9993333333333333
16,10,DODA,RF,1.0,1.0,1.0
16,10,DODA,XGB,0.975,0.9803921568627451,0.9966666666666666
16,15,ANOVA,LR,1.0,1.0,1.0
16,15,ANOVA,RF,1.0,1.0,1.0
16,15,ANOVA,XGB,0.975,0.98,0.9973333333333333
16,15,DODA,LR,0.975,0.9795918367346939,0.9993333333333333
16,15,DODA,RF,0.9875,0.9900990099009901,1.0
16,15,DODA,XGB,0.975,0.98,0.998
16,20,ANOVA,LR,0.9875,0.98989898989899,0.9993333333333333
16,20,ANOVA,RF,1.0,1.0,1.0
16,20,ANOVA,XGB,0.9875,0.9900990099009901,1.0
16,20,DODA,LR,0.9875,0.98989898989899,0.9993333333333333
16,20,DODA,RF,1.0,1.0,1.0
16,20,DODA,XGB,1.0,1.0,1.0
17,5,ANOVA,LR,0.9875,0.98989898989899,0.9913333333333334
17,5,ANOVA,RF,1.0,1.0,1.0
17,5,ANOVA,XGB,1.0,1.0,1.0
17,5,DODA,LR,0.9875,0.98989898989899,0.998
17,5,DODA,RF,0.9875,0.98989898989899,0.9976666666666667
17,5,DODA,XGB,0.975,0.9795918367346939,0.994
17,10,ANOVA,LR,0.9875,0.98989898989899,1.0
17,10,ANOVA,RF,1.0,1.0,1.0
17,10,ANOVA,XGB,0.9875,0.98989898989899,1.0
17,10,DODA,LR,0.9875,0.98989898989899,1.0
17,10,DODA,RF,1.0,1.0,1.0
17,10,DODA,XGB,0.9875,0.98989898989899,1.0
17,15,ANOVA,LR,0.9875,0.98989898989899,1.0
17,15,ANOVA,RF,1.0,1.0,1.0
