Method,Top_K,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
DODA,8,XGBoost,3,0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.8982683982683982,"thal, ca, cp, exang, oldpeak, slope, thalach, age"
DODA,8,XGBoost,4,0.7333333333333333,0.72,0.6666666666666666,0.6923076923076923,0.8574635241301907,"thal, ca, oldpeak, exang, cp, thalach, slope, age"
DODA,8,XGBoost,5,0.75,0.782608695652174,0.6428571428571429,0.7058823529411765,0.875,"thal, ca, cp, exang, thalach, oldpeak, slope, age"
DODA,10,Logistic Regression,1,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9415584415584416,"thal, exang, ca, oldpeak, cp, slope, thalach, age, trestbps, sex"
DODA,10,Logistic Regression,2,0.8360655737704918,0.875,0.75,0.8076923076923077,0.8852813852813852,"thal, ca, oldpeak, exang, thalach, cp, slope, age, sex, trestbps"
DODA,10,Logistic Regression,3,0.8360655737704918,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9231601731601731,"thal, ca, cp, exang, oldpeak, slope, thalach, age, sex, trestbps"
DODA,10,Logistic Regression,4,0.8166666666666667,0.8076923076923077,0.7777777777777778,0.7924528301886793,0.9090909090909092,"thal, ca, oldpeak, exang, cp, thalach, slope, age, sex, trestbps"
DODA,10,Logistic Regression,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.890625,"thal, ca, cp, exang, thalach, oldpeak, slope, age, sex, trestbps"
DODA,10,Random Forest,1,0.8524590163934426,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.9464285714285714,"thal, exang, ca, oldpeak, cp, slope, thalach, age, trestbps, sex"
DODA,10,Random Forest,2,0.8032786885245902,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8755411255411255,"thal, ca, oldpeak, exang, thalach, cp, slope, age, sex, trestbps"
DODA,10,Random Forest,3,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9231601731601733,"thal, ca, cp, exang, oldpeak, slope, thalach, age, sex, trestbps"
DODA,10,Random Forest,4,0.8166666666666667,0.8333333333333334,0.7407407407407407,0.7843137254901961,0.8978675645342312,"thal, ca, oldpeak, exang, cp, thalach, slope, age, sex, trestbps"
DODA,10,Random Forest,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.8995535714285715,"thal, ca, cp, exang, thalach, oldpeak, slope, age, sex, trestbps"
DODA,10,XGBoost,1,0.7868852459016393,0.8,0.7142857142857143,0.7547169811320755,0.9090909090909091,"thal, exang, ca, oldpeak, cp, slope, thalach, age, trestbps, sex"
DODA,10,XGBoost,2,0.819672131147541,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.8658008658008658,"thal, ca, oldpeak, exang, thalach, cp, slope, age, sex, trestbps"
DODA,10,XGBoost,3,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9145021645021646,"thal, ca, cp, exang, oldpeak, slope, thalach, age, sex, trestbps"
DODA,10,XGBoost,4,0.7833333333333333,0.7916666666666666,0.7037037037037037,0.7450980392156863,0.8754208754208754,"thal, ca, oldpeak, exang, cp, thalach, slope, age, sex, trestbps"
DODA,10,XGBoost,5,0.8333333333333334,0.875,0.75,0.8076923076923077,0.8861607142857143,"thal, ca, cp, exang, thalach, oldpeak, slope, age, sex, trestbps"
DODA,13,Logistic Regression,1,0.9180327868852459,0.896551724137931,0.9285714285714286,0.9122807017543859,0.9372294372294372,"thal, exang, ca, oldpeak, cp, slope, thalach, age, trestbps, sex, restecg, chol, fbs"
DODA,13,Logistic Regression,2,0.819672131147541,0.8148148148148148,0.7857142857142857,0.8,0.882034632034632,"thal, ca, oldpeak, exang, thalach, cp, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,Logistic Regression,3,0.7868852459016393,0.7777777777777778,0.75,0.7636363636363637,0.9123376623376623,"thal, ca, cp, exang, oldpeak, slope, thalach, age, sex, trestbps, restecg, chol, fbs"
DODA,13,Logistic Regression,4,0.7833333333333333,0.75,0.7777777777777778,0.7636363636363637,0.9180695847362513,"thal, ca, oldpeak, exang, cp, thalach, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,Logistic Regression,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.9084821428571428,"thal, ca, cp, exang, thalach, oldpeak, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,Random Forest,1,0.8852459016393442,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.9502164502164502,"thal, exang, ca, oldpeak, cp, slope, thalach, age, trestbps, sex, restecg, chol, fbs"
DODA,13,Random Forest,2,0.8032786885245902,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8744588744588746,"thal, ca, oldpeak, exang, thalach, cp, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,Random Forest,3,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9042207792207793,"thal, ca, cp, exang, oldpeak, slope, thalach, age, sex, trestbps, restecg, chol, fbs"
DODA,13,Random Forest,4,0.8333333333333334,0.84,0.7777777777777778,0.8076923076923077,0.9057239057239057,"thal, ca, oldpeak, exang, cp, thalach, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,Random Forest,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.8973214285714286,"thal, ca, cp, exang, thalach, oldpeak, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,XGBoost,1,0.8360655737704918,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.922077922077922,"thal, exang, ca, oldpeak, cp, slope, thalach, age, trestbps, sex, restecg, chol, fbs"
DODA,13,XGBoost,2,0.7868852459016393,0.7419354838709677,0.8214285714285714,0.7796610169491526,0.8701298701298701,"thal, ca, oldpeak, exang, thalach, cp, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,XGBoost,3,0.8360655737704918,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.906926406926407,"thal, ca, cp, exang, oldpeak, slope, thalach, age, sex, trestbps, restecg, chol, fbs"
DODA,13,XGBoost,4,0.8333333333333334,0.8695652173913043,0.7407407407407407,0.8,0.8967452300785633,"thal, ca, oldpeak, exang, cp, thalach, slope, age, sex, trestbps, restecg, chol, fbs"
DODA,13,XGBoost,5,0.8333333333333334,0.9090909090909091,0.7142857142857143,0.8,0.8861607142857142,"thal, ca, cp, exang, thalach, oldpeak, slope, age, sex, trestbps, restecg, chol, fbs"
