Top_K,Model,Metric,ANOVA_Mean,DODA_Mean,DODA_minus_ANOVA,Difference_STD,Cohens_d,Wilcoxon_Statistic,p_value,Direction,Significance
8,Logistic Regression,Recall,0.7838624338624338,0.7767195767195767,-0.00714285714285714,0.029880715233359827,-0.23904572186687875,2.0,1.0,ANOVA better,Not significant
8,Logistic Regression,F1,0.8146489307007752,0.8108209352032004,-0.003827995497574621,0.007902347736791392,-0.4844124335040855,2.0,0.375,ANOVA better,Not significant
8,Logistic Regression,ROC_AUC,0.9106809664101331,0.9003710217251882,-0.010309944684944705,0.00702190255759025,-1.468255163096828,0.0,0.0625,ANOVA better,Not significant
8,Random Forest,Accuracy,0.8216939890710382,0.8315846994535517,0.009890710382513612,0.01871574727746557,0.5284699689454763,2.0,0.375,DODA better,Not significant
8,Random Forest,Precision,0.8203805453805453,0.8499487629922413,0.029568217611695903,0.021290689565351444,1.3887862824234374,1.0,0.125,DODA better,Not significant
8,Random Forest,Recall,0.7838624338624338,0.769047619047619,-0.014814814814814814,0.0416551172369866,-0.35565413801453366,1.5,0.75,ANOVA better,Not significant
8,Random Forest,F1,0.8010532863363051,0.8061901124085997,0.005136826072294575,0.025121492390000257,0.20447933556444745,7.0,1.0,DODA better,Not significant
8,Random Forest,ROC_AUC,0.9000948222302387,0.9039609888568222,0.003866166626583323,0.014956899025219239,0.2584871783960347,5.0,0.625,DODA better,Not significant
8,XGBoost,Accuracy,0.8118032786885246,0.7851912568306011,-0.026612021857923506,0.04755809628570897,-0.5595686946350777,3.0,0.3125,ANOVA better,Not significant
8,XGBoost,Precision,0.8089980262394055,0.775360448807854,-0.0336375774315514,0.0425000364758986,-0.7914717308684424,3.0,0.3125,ANOVA better,Not significant
8,XGBoost,Recall,0.7769841269841271,0.7476190476190475,-0.029365079365079372,0.08241175984497466,-0.3563214694155085,4.5,0.5,ANOVA better,Not significant
8,XGBoost,F1,0.7906177565124933,0.7588105110622789,-0.03180724545021445,0.059155752440560726,-0.537686431800088,3.0,0.3125,ANOVA better,Not significant
8,XGBoost,ROC_AUC,0.8881470959595961,0.8809082892416225,-0.007238806717973456,0.013256054945353679,-0.5460754913746566,3.0,0.3125,ANOVA better,Not significant
