Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
9,5,DODA,RF,0.967741935483871,0.9333333333333333,1.0
9,5,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
9,10,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
9,10,ANOVA,RF,1.0,1.0,1.0
9,10,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
9,10,DODA,LR,0.967741935483871,0.9333333333333333,1.0
9,10,DODA,RF,1.0,1.0,1.0
9,10,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
9,15,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
9,15,ANOVA,RF,1.0,1.0,1.0
9,15,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
9,15,DODA,LR,1.0,1.0,1.0
9,15,DODA,RF,1.0,1.0,1.0
9,15,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
9,20,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
9,20,ANOVA,RF,1.0,1.0,1.0
9,20,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
9,20,DODA,LR,0.967741935483871,0.9333333333333333,1.0
9,20,DODA,RF,1.0,1.0,1.0
9,20,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
10,5,ANOVA,LR,1.0,1.0,1.0
10,5,ANOVA,RF,1.0,1.0,1.0
10,5,ANOVA,XGB,1.0,1.0,1.0
10,5,DODA,LR,1.0,1.0,1.0
10,5,DODA,RF,1.0,1.0,1.0
10,5,DODA,XGB,1.0,1.0,1.0
10,10,ANOVA,LR,1.0,1.0,1.0
10,10,ANOVA,RF,1.0,1.0,1.0
10,10,ANOVA,XGB,1.0,1.0,1.0
10,10,DODA,LR,1.0,1.0,1.0
10,10,DODA,RF,1.0,1.0,1.0
10,10,DODA,XGB,1.0,1.0,1.0
10,15,ANOVA,LR,1.0,1.0,1.0
10,15,ANOVA,RF,1.0,1.0,1.0
10,15,ANOVA,XGB,1.0,1.0,1.0
10,15,DODA,LR,1.0,1.0,1.0
10,15,DODA,RF,1.0,1.0,1.0
10,15,DODA,XGB,1.0,1.0,1.0
10,20,ANOVA,LR,1.0,1.0,1.0
10,20,ANOVA,RF,1.0,1.0,1.0
10,20,ANOVA,XGB,1.0,1.0,1.0
10,20,DODA,LR,1.0,1.0,1.0
10,20,DODA,RF,1.0,1.0,1.0
10,20,DODA,XGB,1.0,1.0,1.0
11,5,ANOVA,LR,1.0,1.0,1.0
11,5,ANOVA,RF,1.0,1.0,1.0
11,5,ANOVA,XGB,0.96875,0.9411764705882353,1.0
11,5,DODA,LR,1.0,1.0,1.0
11,5,DODA,RF,0.96875,0.9411764705882353,1.0
11,5,DODA,XGB,0.96875,0.9411764705882353,1.0
11,10,ANOVA,LR,1.0,1.0,1.0
11,10,ANOVA,RF,1.0,1.0,1.0
11,10,ANOVA,XGB,0.96875,0.9411764705882353,1.0
11,10,DODA,LR,1.0,1.0,1.0
11,10,DODA,RF,0.96875,0.9411764705882353,1.0
11,10,DODA,XGB,0.96875,0.9411764705882353,1.0
11,15,ANOVA,LR,1.0,1.0,1.0
11,15,ANOVA,RF,1.0,1.0,1.0
11,15,ANOVA,XGB,0.96875,0.9411764705882353,1.0
11,15,DODA,LR,1.0,1.0,1.0
11,15,DODA,RF,1.0,1.0,1.0
11,15,DODA,XGB,0.96875,0.9411764705882353,1.0
11,20,ANOVA,LR,1.0,1.0,1.0
11,20,ANOVA,RF,1.0,1.0,1.0
11,20,ANOVA,XGB,0.96875,0.9411764705882353,1.0
11,20,DODA,LR,1.0,1.0,1.0
11,20,DODA,RF,1.0,1.0,1.0
11,20,DODA,XGB,0.96875,0.9411764705882353,1.0
12,5,ANOVA,LR,1.0,1.0,1.0
12,5,ANOVA,RF,0.96875,0.9411764705882353,1.0
12,5,ANOVA,XGB,1.0,1.0,1.0
12,5,DODA,LR,1.0,1.0,1.0
12,5,DODA,RF,0.96875,0.9411764705882353,1.0
12,5,DODA,XGB,1.0,1.0,1.0
12,10,ANOVA,LR,1.0,1.0,1.0
12,10,ANOVA,RF,1.0,1.0,1.0
12,10,ANOVA,XGB,1.0,1.0,1.0
12,10,DODA,LR,1.0,1.0,1.0
12,10,DODA,RF,1.0,1.0,1.0
12,10,DODA,XGB,1.0,1.0,1.0
12,15,ANOVA,LR,1.0,1.0,1.0
12,15,ANOVA,RF,1.0,1.0,1.0
12,15,ANOVA,XGB,1.0,1.0,1.0
12,15,DODA,LR,1.0,1.0,1.0
12,15,DODA,RF,1.0,1.0,1.0
12,15,DODA,XGB,1.0,1.0,1.0
12,20,ANOVA,LR,1.0,1.0,1.0
12,20,ANOVA,RF,1.0,1.0,1.0
12,20,ANOVA,XGB,1.0,1.0,1.0
12,20,DODA,LR,1.0,1.0,1.0
12,20,DODA,RF,1.0,1.0,1.0
12,20,DODA,XGB,1.0,1.0,1.0
13,5,ANOVA,LR,0.96875,0.9411764705882353,1.0
13,5,ANOVA,RF,1.0,1.0,1.0
13,5,ANOVA,XGB,1.0,1.0,1.0
13,5,DODA,LR,1.0,1.0,1.0
13,5,DODA,RF,1.0,1.0,1.0
13,5,DODA,XGB,1.0,1.0,1.0
13,10,ANOVA,LR,1.0,1.0,1.0
13,10,ANOVA,RF,1.0,1.0,1.0
13,10,ANOVA,XGB,1.0,1.0,1.0
13,10,DODA,LR,1.0,1.0,1.0
13,10,DODA,RF,1.0,1.0,1.0
13,10,DODA,XGB,1.0,1.0,1.0
13,15,ANOVA,LR,1.0,1.0,1.0
13,15,ANOVA,RF,1.0,1.0,1.0
13,15,ANOVA,XGB,1.0,1.0,1.0
13,15,DODA,LR,1.0,1.0,1.0
13,15,DODA,RF,1.0,1.0,1.0
13,15,DODA,XGB,1.0,1.0,1.0
13,20,ANOVA,LR,1.0,1.0,1.0
13,20,ANOVA,RF,1.0,1.0,1.0
13,20,ANOVA,XGB,1.0,1.0,1.0
13,20,DODA,LR,1.0,1.0,1.0
13,20,DODA,RF,1.0,1.0,1.0
13,20,DODA,XGB,1.0,1.0,1.0
14,5,ANOVA,LR,1.0,1.0,1.0
14,5,ANOVA,RF,1.0,1.0,1.0
14,5,ANOVA,XGB,1.0,1.0,1.0
14,5,DODA,LR,1.0,1.0,1.0
14,5,DODA,RF,1.0,1.0,1.0
14,5,DODA,XGB,1.0,1.0,1.0
14,10,ANOVA,LR,1.0,1.0,1.0
14,10,ANOVA,RF,1.0,1.0,1.0
14,10,ANOVA,XGB,1.0,1.0,1.0
14,10,DODA,LR,1.0,1.0,1.0
14,10,DODA,RF,1.0,1.0,1.0
14,10,DODA,XGB,1.0,1.0,1.0
14,15,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
14,15,ANOVA,RF,1.0,1.0,1.0
14,15,ANOVA,XGB,1.0,1.0,1.0
14,15,DODA,LR,0.967741935483871,0.9333333333333333,1.0
14,15,DODA,RF,1.0,1.0,1.0
14,15,DODA,XGB,1.0,1.0,1.0
14,20,ANOVA,LR,1.0,1.0,1.0
14,20,ANOVA,RF,1.0,1.0,1.0
14,20,ANOVA,XGB,1.0,1.0,1.0
14,20,DODA,LR,0.967741935483871,0.9333333333333333,1.0
14,20,DODA,RF,1.0,1.0,1.0
14,20,DODA,XGB,1.0,1.0,1.0
15,5,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
15,5,ANOVA,RF,0.967741935483871,0.9333333333333333,1.0
15,5,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
15,5,DODA,LR,0.967741935483871,0.9333333333333333,1.0
15,5,DODA,RF,0.967741935483871,0.9333333333333333,1.0
15,5,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
15,10,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
15,10,ANOVA,RF,0.967741935483871,0.9333333333333333,1.0
15,10,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
15,10,DODA,LR,0.967741935483871,0.9333333333333333,1.0
15,10,DODA,RF,1.0,1.0,1.0
15,10,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
15,15,ANOVA,LR,1.0,1.0,1.0
15,15,ANOVA,RF,1.0,1.0,1.0
15,15,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
15,15,DODA,LR,1.0,1.0,1.0
15,15,DODA,RF,1.0,1.0,1.0
15,15,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
15,20,ANOVA,LR,1.0,1.0,1.0
15,20,ANOVA,RF,0.967741935483871,0.9333333333333333,1.0
15,20,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
15,20,DODA,LR,1.0,1.0,1.0
15,20,DODA,RF,1.0,1.0,1.0
15,20,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
16,5,ANOVA,LR,1.0,1.0,1.0
16,5,ANOVA,RF,1.0,1.0,1.0
16,5,ANOVA,XGB,0.96875,0.9411764705882353,1.0
16,5,DODA,LR,1.0,1.0,1.0
16,5,DODA,RF,0.96875,0.9411764705882353,1.0
16,5,DODA,XGB,0.96875,0.9411764705882353,1.0
16,10,ANOVA,LR,1.0,1.0,1.0
16,10,ANOVA,RF,1.0,1.0,1.0
16,10,ANOVA,XGB,0.96875,0.9411764705882353,1.0
16,10,DODA,LR,1.0,1.0,1.0
16,10,DODA,RF,0.96875,0.9411764705882353,1.0
16,10,DODA,XGB,0.96875,0.9411764705882353,1.0
16,15,ANOVA,LR,1.0,1.0,1.0
16,15,ANOVA,RF,1.0,1.0,1.0
16,15,ANOVA,XGB,0.96875,0.9411764705882353,1.0
16,15,DODA,LR,1.0,1.0,1.0
16,15,DODA,RF,1.0,1.0,1.0
16,15,DODA,XGB,0.96875,0.9411764705882353,1.0
16,20,ANOVA,LR,1.0,1.0,1.0
16,20,ANOVA,RF,1.0,1.0,1.0
16,20,ANOVA,XGB,0.96875,0.9411764705882353,1.0
16,20,DODA,LR,1.0,1.0,1.0
16,20,DODA,RF,1.0,1.0,1.0
16,20,DODA,XGB,0.96875,0.9411764705882353,1.0
17,5,ANOVA,LR,1.0,1.0,1.0
17,5,ANOVA,RF,0.96875,0.9411764705882353,1.0
17,5,ANOVA,XGB,1.0,1.0,1.0
17,5,DODA,LR,1.0,1.0,1.0
17,5,DODA,RF,0.96875,0.9411764705882353,1.0
17,5,DODA,XGB,1.0,1.0,1.0
17,10,ANOVA,LR,1.0,1.0,1.0
