Method,Top-K,Model,Metric,Mean,SD,Mean ± SD
DODA,8,Random Forest,F1,0.8061901124085997,0.042636731489210766,0.8062 ± 0.0426
DODA,8,Random Forest,ROC-AUC,0.9039609888568222,0.02042405220392891,0.9040 ± 0.0204
DODA,8,XGBoost,Accuracy,0.7851912568306011,0.043896654780004776,0.7852 ± 0.0439
DODA,8,XGBoost,Precision,0.7753604488078542,0.03291235709052131,0.7754 ± 0.0329
DODA,8,XGBoost,Recall,0.7476190476190476,0.10323563518418474,0.7476 ± 0.1032
DODA,8,XGBoost,F1,0.7588105110622789,0.061172502915897195,0.7588 ± 0.0612
DODA,8,XGBoost,ROC-AUC,0.8809082892416225,0.019972535825195016,0.8809 ± 0.0200
DODA,10,Logistic Regression,Accuracy,0.8415300546448087,0.019340132620844986,0.8415 ± 0.0193
DODA,10,Logistic Regression,Precision,0.8508779264214047,0.04417751154442827,0.8509 ± 0.0442
DODA,10,Logistic Regression,Recall,0.7984126984126985,0.07452503506607629,0.7984 ± 0.0745
DODA,10,Logistic Regression,F1,0.8210312062254349,0.027938009922616976,0.8210 ± 0.0279
DODA,10,Logistic Regression,ROC-AUC,0.9099431818181818,0.023218183792895503,0.9099 ± 0.0232
DODA,10,Random Forest,Accuracy,0.8316939890710383,0.021322856705926277,0.8317 ± 0.0213
DODA,10,Random Forest,Precision,0.8362211751267223,0.04678230319171222,0.8362 ± 0.0468
DODA,10,Random Forest,Recall,0.7910052910052909,0.04882547308278239,0.7910 ± 0.0488
DODA,10,Random Forest,F1,0.8114182515111308,0.02541617880332729,0.8114 ± 0.0254
DODA,10,Random Forest,ROC-AUC,0.9085102012185345,0.02707799549951706,0.9085 ± 0.0271
DODA,10,XGBoost,Accuracy,0.8184153005464481,0.03533030940056812,0.8184 ± 0.0353
DODA,10,XGBoost,Precision,0.8186206896551724,0.03577522734053565,0.8186 ± 0.0358
DODA,10,XGBoost,Recall,0.7764550264550264,0.07973349235545249,0.7765 ± 0.0797
DODA,10,XGBoost,F1,0.795318767483392,0.047212766827993954,0.7953 ± 0.0472
DODA,10,XGBoost,ROC-AUC,0.8901951058201059,0.021080308513400328,0.8902 ± 0.0211
DODA,13,Logistic Regression,Accuracy,0.831584699453552,0.05540879866674195,0.8316 ± 0.0554
DODA,13,Logistic Regression,Precision,0.8304375589982786,0.07190643976888551,0.8304 ± 0.0719
DODA,13,Logistic Regression,Recall,0.7984126984126985,0.07452503506607634,0.7984 ± 0.0745
DODA,13,Logistic Regression,F1,0.8126165681583638,0.06125628201080847,0.8126 ± 0.0613
DODA,13,Logistic Regression,ROC-AUC,0.9116306918390251,0.01989406338099111,0.9116 ± 0.0199
DODA,13,Random Forest,Accuracy,0.8415846994535519,0.029761611700480542,0.8416 ± 0.0298
DODA,13,Random Forest,Precision,0.849815044858523,0.051321619177633136,0.8498 ± 0.0513
DODA,13,Random Forest,Recall,0.7984126984126985,0.041562606262781465,0.7984 ± 0.0416
DODA,13,Random Forest,F1,0.8222183698654287,0.03200408771825413,0.8222 ± 0.0320
DODA,13,Random Forest,ROC-AUC,0.9063882876382877,0.027512463949844336,0.9064 ± 0.0275
DODA,13,XGBoost,Accuracy,0.825136612021858,0.02142675838983352,0.8251 ± 0.0214
DODA,13,XGBoost,Precision,0.8425798605321747,0.06186025857763532,0.8426 ± 0.0619
DODA,13,XGBoost,Recall,0.7695767195767196,0.0421250090910199,0.7696 ± 0.0421
DODA,13,XGBoost,F1,0.8018581293157565,0.014451370910460377,0.8019 ± 0.0145
DODA,13,XGBoost,ROC-AUC,0.8964080286996954,0.01978157275003346,0.8964 ± 0.0198
