Method,Top_K,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
ANOVA,15,Random Forest,2,0.8381958819043469,0.4377104377104377,0.20373272545946716,0.27804783200466654,0.7605288955157815,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Random Forest,3,0.838609870356248,0.43661971830985913,0.1898860398860399,0.2646679241536781,0.7621890088951182,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Random Forest,4,0.8381523041725678,0.4356060606060606,0.19658119658119658,0.270906949352179,0.7616837203763249,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,Random Forest,5,0.8393471913539896,0.4434865900383142,0.1978914375267132,0.27366761895379765,0.7675760153080132,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,XGBoost,1,0.8545375313214947,0.5881748071979435,0.16298618036757373,0.25524319500223114,0.8156204281908757,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,XGBoost,2,0.8530776773068962,0.5695564516129032,0.16099159424419432,0.2510274352993447,0.8121042437969253,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,XGBoost,3,0.8514435123651813,0.5544181034482759,0.1465811965811966,0.23186119873817035,0.812762307051053,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,XGBoost,4,0.8540799651378146,0.5818550430816016,0.16353276353276353,0.2553096853107973,0.8138134150474987,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,15,XGBoost,5,0.8549483592626487,0.5925357873210634,0.16512323692833736,0.25827298050139275,0.8191017435907773,"HighBP, HighChol, CholCheck, BMI, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, MentHlth, PhysHlth, DiffWalk, Age, Education, Income"
ANOVA,20,Logistic Regression,1,0.8512256237062861,0.5493540051679586,0.15144607493945006,0.23743578289032835,0.8072297362995192,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Logistic Regression,2,0.8497657696916876,0.5313447927199191,0.14973642969083914,0.23363343336667777,0.8051279986717808,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Logistic Regression,3,0.850070813814141,0.5362545644235786,0.14643874643874644,0.2300548282421394,0.804521171480657,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Logistic Regression,4,0.8498529251552457,0.5321695760598504,0.151994301994302,0.23645429362880888,0.8059240443015363,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Logistic Regression,5,0.8510916459667931,0.5475578406169666,0.15173101581421855,0.23761713520749667,0.8120321076141974,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Random Forest,1,0.8452990521843338,0.4843448009277155,0.1785154580424562,0.26087861753070996,0.7800067053017254,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Random Forest,2,0.8442313977557468,0.4744496855345912,0.17196181792278104,0.25243124542507583,0.7779241635828001,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Random Forest,3,0.8435123651813923,0.4672330097087379,0.16452991452991453,0.24336283185840707,0.7775774809684777,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Random Forest,4,0.8424882884845843,0.4599770202987361,0.1710826210826211,0.2494029695774063,0.7751350995318842,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,Random Forest,5,0.8437922168475182,0.46973365617433416,0.16583558911525859,0.24513004106559966,0.7810726310624951,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,XGBoost,1,0.8550386752369539,0.5928934010152285,0.16640547086479557,0.25987317832906887,0.8169283556204017,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
