Run,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
2,Boruta + DODA,20,Random Forest,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.9785456927612184,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture, radius error, perimeter error, area error, worst smoothness, mean smoothness"
2,Boruta + DODA,20,XGBoost,0.9385964912280702,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9931215198165739,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture, radius error, perimeter error, area error, worst smoothness, mean smoothness"
3,Boruta,5,Logistic Regression,0.9210526315789473,0.9090909090909091,0.9722222222222222,0.9395973154362416,0.9675925925925927,"area error, concave points error, concavity error, mean area, mean compactness"
3,Boruta,5,Random Forest,0.9035087719298246,0.9178082191780822,0.9305555555555556,0.9241379310344827,0.9482473544973545,"area error, concave points error, concavity error, mean area, mean compactness"
3,Boruta,5,XGBoost,0.8947368421052632,0.9285714285714286,0.9027777777777778,0.9154929577464789,0.9444444444444444,"area error, concave points error, concavity error, mean area, mean compactness"
3,Boruta + DODA,5,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9742063492063493,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
3,Boruta + DODA,5,Random Forest,0.9385964912280702,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.9700727513227513,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
3,Boruta + DODA,5,XGBoost,0.9210526315789473,0.9315068493150684,0.9444444444444444,0.9379310344827586,0.9507275132275131,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
3,Boruta,10,Logistic Regression,0.9122807017543859,0.9078947368421053,0.9583333333333334,0.9324324324324325,0.9788359788359788,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
3,Boruta,10,Random Forest,0.9298245614035088,0.9324324324324325,0.9583333333333334,0.9452054794520548,0.9783399470899471,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
3,Boruta,10,XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9851190476190477,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
3,Boruta + DODA,10,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9781746031746031,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
3,Boruta + DODA,10,Random Forest,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9758597883597884,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
3,Boruta + DODA,10,XGBoost,0.9298245614035088,0.9324324324324325,0.9583333333333334,0.9452054794520548,0.9682539682539684,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
3,Boruta,15,Logistic Regression,0.9649122807017544,0.9473684210526315,1.0,0.972972972972973,0.9867724867724867,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness"
3,Boruta,15,Random Forest,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.982473544973545,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness"
3,Boruta,15,XGBoost,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.986441798941799,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness"
3,Boruta + DODA,15,Logistic Regression,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9811507936507936,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture"
