Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
4,mRMR,15,Random Forest,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,0.9943783068783069,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, mean concavity, mean radius, worst area, worst concavity, mean area, worst compactness, mean compactness, radius error, worst texture, perimeter error"
4,mRMR,15,XGBoost,0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,0.9947089947089948,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, mean concavity, mean radius, worst area, worst concavity, mean area, worst compactness, mean compactness, radius error, worst texture, perimeter error"
5,mRMR,15,Logistic Regression,0.9823008849557522,0.9726027397260274,1.0,0.9861111111111112,0.999664654594232,"worst concave points, worst perimeter, mean concave points, worst radius, worst area, mean perimeter, mean concavity, mean radius, worst concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error"
5,mRMR,15,Random Forest,0.9734513274336283,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9916163648558014,"worst concave points, worst perimeter, mean concave points, worst radius, worst area, mean perimeter, mean concavity, mean radius, worst concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error"
5,mRMR,15,XGBoost,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.9904426559356136,"worst concave points, worst perimeter, mean concave points, worst radius, worst area, mean perimeter, mean concavity, mean radius, worst concavity, mean area, worst compactness, mean compactness, worst texture, radius error, area error"
1,mRMR,20,Logistic Regression,0.9649122807017544,1.0,0.9436619718309859,0.9710144927536232,0.9996724533245988,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter, mean radius, worst area, mean concavity, worst concavity, mean area, worst compactness, worst texture, mean compactness, radius error, perimeter error, worst smoothness, mean texture, area error, worst symmetry, concave points error"
1,mRMR,20,Random Forest,0.9649122807017544,1.0,0.9436619718309859,0.9710144927536232,0.998689813298395,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter, mean radius, worst area, mean concavity, worst concavity, mean area, worst compactness, worst texture, mean compactness, radius error, perimeter error, worst smoothness, mean texture, area error, worst symmetry, concave points error"
1,mRMR,20,XGBoost,0.9649122807017544,0.9855072463768116,0.9577464788732394,0.9714285714285714,0.9983622666229938,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter, mean radius, worst area, mean concavity, worst concavity, mean area, worst compactness, worst texture, mean compactness, radius error, perimeter error, worst smoothness, mean texture, area error, worst symmetry, concave points error"
2,mRMR,20,Logistic Regression,0.9736842105263158,0.9594594594594594,1.0,0.9793103448275862,0.9980347199475925,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter, worst area, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, worst symmetry, perimeter error, area error, worst smoothness, mean texture, concave points error"
2,mRMR,20,Random Forest,0.956140350877193,0.9583333333333334,0.971830985915493,0.965034965034965,0.9873894529970522,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter, worst area, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, worst symmetry, perimeter error, area error, worst smoothness, mean texture, concave points error"
